N,Cos Taylor,math.cos,Error Cos,Exp Taylor,math.exp,Error Exp,Sen Taylor,math.sin,Error Sen,Log Taylor,math.log,Error Log,Inv Taylor,1/(1-x),Error Inv,Binomial Taylor,(1+x)^k,Error Binomial,Arctan Taylor,math.atan,Error Arctan,Fecha,Hora
0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.830334833,nan,nan,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-09-17,12:21:21
1,0.9998476951563912,0.9998476951563913,1.1102230246251565e-16,1.0176064873259925,1.0176064912058516,3.879859100663907e-09,0.017452406437283515,0.01745240643728351,3.469446951953614e-18,-1.781428609710872,-4.0482269650408105,2.2667983553299385,0.03430266677724747,1.0177633209567267,0.9834606541794793,1.0352112024596734,1.0352112024596734,0.0,0.017451520651465807,0.017451520651465824,1.734723475976807e-17,2024-09-17,12:21:21
2,0.9993908270190957,0.9993908270190958,1.1102230246251565e-16,1.0355229086487057,1.0355229709442848,6.229557913961514e-08,0.03489949670250097,0.03489949670250097,0.0,-1.7304271051939024,-3.355079784480865,1.6246526792869627,0.06741876333695329,1.0361691257020227,0.9687503623650694,1.0710316397589201,1.0710316397589201,0.0,0.03489241785731486,0.0348924178573234,8.541778395709798e-15,2024-09-17,12:21:21
3,0.9986295347545724,0.9986295347545738,1.4432899320127035e-15,1.053754580545074,1.0537548970256727,3.164805986166641e-07,0.05233595624294383,0.052335956242943835,6.938893903907228e-18,-1.6803181866285566,-2.9496146763727005,1.2692964897441439,0.09938018914072255,1.055252913336978,0.9558727241962554,1.10746131189774,1.1074613118977403,2.220446049250313e-16,0.05231210692205686,0.052312106922384784,3.279251870047517e-13,2024-09-17,12:21:21
4,0.9975640502598102,0.9975640502598242,1.3988810110276972e-14,1.0723068195920318,1.0723078233532783,1.0037612465652046e-06,0.06975647374412519,0.0697564737441253,1.1102230246251565e-16,-1.6310912208609651,-2.6619326039209197,1.0308413830599545,0.1302188436501609,1.0750528472712952,0.9448340036211343,1.1445002188761337,1.144500218876134,2.220446049250313e-16,0.06970008029525346,0.06970008029961325,4.3597903065517585e-12,2024-09-17,12:21:21
5,0.9961946980916621,0.9961946980917455,8.348877145181177e-14,1.091184942366513,1.0911874016151135,2.4592486005392544e-06,0.08715574274765736,0.08715574274765817,8.049116928532385e-16,-1.5827355747372602,-2.43878905260671,0.8560534778694497,0.15996662632687353,1.095610009957863,0.9356433836309894,1.1821483606941008,1.1821483606941003,4.440892098500626e-16,0.08704594525604203,0.08704594528845262,3.241058810221631e-11,2024-09-17,12:21:21
6,0.9945218953679147,0.9945218953682733,3.5860203695392556e-13,1.110394265445452,1.110399383005586,5.117560134104693e-06,0.10452846326764931,0.10452846326765347,4.163336342344337e-15,-1.5352406151035733,-2.256467495812755,0.7212268807091817,0.18865543663246553,1.1169686874232954,0.9283132507908298,1.220405737351641,1.2204057373516408,2.220446049250313e-16,0.10433946053205663,0.10433946069883394,1.667773141811324e-10,2024-09-17,12:21:21
7,0.9925461516400912,0.992546151641322,1.2307932450994485e-12,1.129940105405783,1.129949619977457,9.514571674085204e-06,0.12186934340513077,0.12186934340514748,1.6708856520608606e-14,-1.4885957088060362,-2.102316815985497,0.6137211071794608,0.2163171740285419,1.139176687741349,0.9228595137128071,1.2592723488487547,1.2592723488487547,0.0,0.12157057149754529,0.12157057216322709,6.656818013484056e-10,2024-09-17,12:21:21
8,0.9902680687379883,0.9902680687415704,3.582023566650605e-12,1.14982777882444,1.1498440680246453,1.628920020535496e-05,0.13917310096000987,0.13917310096006544,5.5566662382489085e-14,-1.4427902226907803,-1.9687854233609743,0.525995200670194,0.24298373797670836,1.1622856982690968,0.9193019602923884,1.298748195185442,1.298748195185442,0.0,0.13872944359548292,0.13872944580142774,2.2059448157030204e-09,2024-09-17,12:21:21
9,0.9876883405859477,0.9876883405951378,9.190093130939658e-12,1.1700626022783576,1.1700887874964219,2.618521806430074e-05,0.15643446504007044,0.15643446504023087,1.6042722705833512e-13,-1.3978135236039368,-1.851002387704591,0.45318886410065407,0.26868702793857,1.1863516872641446,0.9176646593255746,1.3388332763617028,1.3388332763617028,0.0,0.1558064936284785,0.15580649996954174,6.341063230053123e-09,2024-09-17,12:21:21
10,0.9848077529908604,0.984807753012208,2.1347590362097435e-11,1.1906498923444697,1.1906899454435431,4.005309907340049e-05,0.17364817766651633,0.17364817766693033,4.1400216588272087e-13,-1.353654978391638,-1.7456418720467646,0.3919868936551265,0.2934589433757321,1.2114353564514977,0.9179764130757656,1.3795275923775367,1.3795275923775367,0.0,0.17279241856327623,0.1727924348551592,1.6291882953822778e-08,2024-09-17,12:21:21
11,0.9816271834019065,0.981627183447664,4.575750889301844e-11,1.2115949655997107,1.211653817496891,5.8851897180245416e-05,0.19080899537556864,0.1908089953765448,9.761635944016689e-13,-1.3103039539000152,-1.6503316922424398,0.3400277383424246,0.31733138374979963,1.2376026522437453,0.9202712684939457,1.4208311432329443,1.4208311432329443,0.0,0.18967822149364907,0.18967825971423122,3.822058214364432e-08,2024-09-17,12:21:21
12,0.978147600642028,0.9781476007338057,9.177769655366319e-11,1.2329031386210145,1.2329867897791864,8.36511581718824e-05,0.2079116908156234,0.20791169081775934,2.135930321500723e-12,-1.2677498169752,-1.56332031525281,0.29557049827760995,0.34033624852237815,1.2649253446788384,0.9245890961564602,1.4627439289279254,1.4627439289279254,0.0,0.20645523440648433,0.20645531758085964,8.317437530380722e-08,2024-09-17,12:21:21
13,0.974370064611136,0.9743700647852352,1.7409929053968654e-10,1.2545797279853157,1.2546953608503648,0.00011563286504912007,0.22495105433947546,0.224951054343865,4.389544283611713e-12,-1.2259819344633238,-1.4832776075792735,0.2572956731159497,0.36250543715507266,1.293481684776776,0.9309762476217034,1.5052659494624794,1.5052659494624796,2.220446049250313e-16,0.22311513739585992,0.22311530731824092,1.699223809992212e-07,2024-09-17,12:21:21
14,0.9702957259610514,0.9702957262759965,3.149450700234979e-10,1.2766300502695478,1.2767861436871994,0.0001560934176516593,0.24192189559111607,0.24192189559966773,8.551659380628962e-12,-1.1849896732105185,-1.4091696354255516,0.2241799622150331,0.38387084910948865,1.3233571529938557,0.939486303884367,1.5483972048366073,1.5483972048366068,4.440892098500626e-16,0.239649973969911,0.23965030291654563,3.2894663462568197e-07,2024-09-17,12:21:21
15,0.9659258257421811,0.9659258262890683,5.4688720219076e-10,1.299059422050646,1.2992658676977813,0.00020644564713534486,0.2588190450866102,0.25881904510252074,1.5910550654751887e-11,-1.1447624000629155,-1.3401767639386002,0.19541436387568467,0.4044643838472312,1.3546453138512415,0.9501809300040103,1.592137695050308,1.592137695050308,0.0,0.25605216209528525,0.25605276998075555,6.078854702940006e-07,2024-09-17,12:21:21
16,0.9612616950219253,0.9612616959383189,9.16393627647949e-10,1.321873159905544,1.3221413807714655,0.00026822086592148686,0.27563735578856075,0.27563735581699916,2.8438418286924616e-11,-1.1052894818666463,-1.2756382428010289,0.17034876093438256,0.4243179408299057,1.3874487947353378,0.9631308539054321,1.6364874201035828,1.6364874201035826,2.220446049250313e-16,0.27231450062398654,0.27231557938768775,1.0787637012010798e-06,2024-09-17,12:21:21
17,0.9563047544748227,0.9563047559630354,1.4882127752358087e-09,1.345076580411176,1.3454196513649108,0.00034307095373486973,0.29237170467366563,0.29237170472273677,4.907113604346591e-11,-1.0665602854678427,-1.215013620984594,0.14845333551675144,0.44346341951911733,1.4218804104405232,0.9784169909214058,1.6814463799964308,1.6814463799964308,0.0,0.28843017074740596,0.2884320181259294,1.8473785234340845e-06,2024-09-17,12:21:21
18,0.951056513944426,0.9510565162951535,2.3507275015433038e-09,1.368675000144476,1.369107770624847,0.00043277048037082544,0.3090169942928752,0.3090169943749474,8.20721823835413e-11,-1.0285641777126358,-1.1578552071446455,0.12929102943200976,0.4619327193764713,1.4580644594162449,0.9961317400397736,1.7270145747288521,1.7270145747288521,0.0,0.30439273212233886,0.3043957973646151,3.065242276223401e-06,2024-09-17,12:21:21
19,0.9455185719769144,0.9455185755993168,3.6224024890785245e-09,1.3926737356823788,1.3932129545482164,0.0005392188658375208,0.3255681543236566,0.3255681544571567,1.335000998636815e-10,-0.9912905254471578,-1.1037879858743698,0.11249746042721198,0.4797577398635729,1.4961382231039158,1.016380483240343,1.7731920043008471,1.7731920043008471,0.0,0.3201961133137879,0.3202010578264167,4.944512628834996e-06,2024-09-17,12:21:21
20,0.9396926153264376,0.9396926207859084,5.4594708753796795e-09,1.417078103601818,1.417742546180348,0.0006644425785298225,0.3420201431138706,0.3420201433256687,2.1179813458616081e-10,-0.9547286955175399,-1.0524946914868192,0.09776599596927926,0.49697038044202724,1.5362537064813073,1.0392833260392802,1.8199786687124153,1.8199786687124153,0.0,0.33583459619934986,0.3358423725664079,7.776367058065503e-06,2024-09-17,12:21:21
21,0.9335804184321955,0.9335804264972017,8.065006218416215e-09,1.4418934204797282,1.442704017851834,0.0008105973721057591,0.358367949216769,0.35836794954530027,3.285312577538946e-10,-0.9188680547699138,-1.0037045273173872,0.0848364725474734,0.5136025405734398,1.5785796663336804,1.0649771257602407,1.867374567963557,1.8673745679635572,2.220446049250313e-16,0.35130279397998687,0.35131474728135137,1.1953301364497904e-05,2024-09-17,12:21:21
22,0.9271838428672516,0.9271838545667874,1.1699535784615023e-08,1.4671250028930436,1.4681049734547889,0.000979970561745258,0.374606592916619,0.374606593415912,4.99292995836953e-10,-0.8836979700504115,-0.9571845116824944,0.0734865416320829,0.5296861197194156,1.6233039843147743,1.0936178645953587,1.915379702054272,1.9153797020542722,2.220446049250313e-16,0.3665956224419797,0.3666136182932664,1.799585128670067e-05,2024-09-17,12:21:21
23,0.92050483675908,0.9205048534524404,1.6693360360697795e-08,1.4927781674186977,1.4939531507591877,0.0011749833404899324,0.39073112774445984,0.39073112848927377,7.44813932751498e-10,-0.8492078082051638,-0.9127327491116605,0.06352494090649663,0.5452530173415601,1.6706364551715909,1.1253834378300307,1.9639940709845605,1.96399407098456,4.440892098500626e-16,0.38170826411486347,0.3817348483668146,2.6584251951122795e-05,2024-09-17,12:21:21
24,0.9135454341818466,0.9135454576426009,2.346075422821059e-08,1.518858230633626,1.5202564237699836,0.001398193136357584,0.40673664198350024,0.4067366430758002,1.0922999726936666e-09,-0.8153869360803028,-0.8701731346928645,0.05478619861256173,0.5603351329014784,1.720812077415701,1.1604769445142225,2.0132176747544226,2.0132176747544226,0.0,0.3966361249701435,0.39667472053211317,3.8595561969667624e-05,2024-09-17,12:21:21
25,0.906307754520424,0.9063077870366499,3.2516225934031695e-08,1.5453705091147616,1.547022805125729,0.0016522960109675022,0.42261826016366216,0.42261826174069944,1.577037278543969e-09,-0.78222472052196,-0.8293511401726095,0.047126419650649454,0.5749643658607757,1.7740949553446461,1.1991305894838704,2.0630505133638577,2.0630505133638573,4.440892098500626e-16,0.41137478330559163,0.4114299300931693,5.514678757767566e-05,2024-09-17,12:21:21
