N,Cos Taylor,math.cos,Error Cos,Exp Taylor,math.exp,Error Exp,Sen Taylor,math.sin,Error Sen,Log Taylor,math.log,Error Log,Inv Taylor,1/(1-x),Error Inv,Binomial Taylor,(1+x)^k,Error Binomial,Arctan Taylor,math.atan,Error Arctan,Fecha,Hora
1668,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-2.918990714020703,nan,nan,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2024-09-17,12:46:21
1669,0.9998476951563912,0.9998476951563913,1.1102230246251565e-16,1.0176064912058518,1.0176064912058516,2.220446049250313e-16,0.017452406437283515,0.01745240643728351,3.469446951953614e-18,-2.7610813485617007,-4.0482269650408105,1.2871456164791097,0.9199886107381207,1.0177633209567267,0.09777471021860606,1.0352112024596734,1.0352112024596734,0.0,0.017451520651465824,0.017451520651465824,0.0,2024-09-17,12:46:21
1670,0.9993908270190957,0.9993908270190958,1.1102230246251565e-16,1.0355229709442848,1.0355229709442848,0.0,0.03489949670250097,0.03489949670250097,0.0,-2.60569206210071,-3.355079784480865,0.7493877223801553,0.8531361997521305,1.0361691257020227,0.18303292594989218,1.0710316397589201,1.0710316397589201,0.0,0.0348924178573234,0.0348924178573234,0.0,2024-09-17,12:46:21
1671,0.9986295347545738,0.9986295347545738,0.0,1.0537548970256727,1.0537548970256727,0.0,0.052335956242943835,0.052335956242943835,0.0,-2.461688068216333,-2.9496146763727005,0.48792660815636735,0.7976059238906451,1.055252913336978,0.2576469894463328,1.10746131189774,1.1074613118977403,2.220446049250313e-16,0.052312106922384784,0.052312106922384784,0.0,2024-09-17,12:46:21
1672,0.9975640502598242,0.9975640502598242,0.0,1.0723078233532781,1.0723078233532783,2.220446049250313e-16,0.0697564737441253,0.0697564737441253,0.0,-2.3280558426646025,-2.6619326039209197,0.33387676125631716,0.7517920902804633,1.0750528472712952,0.3232607569908319,1.1445002188761337,1.144500218876134,2.220446049250313e-16,0.06970008029961325,0.06970008029961325,0.0,2024-09-17,12:46:21
1673,0.9961946980917454,0.9961946980917455,1.1102230246251565e-16,1.091187401615114,1.0911874016151135,4.440892098500626e-16,0.08715574274765817,0.08715574274765817,0.0,-2.203872513099449,-2.43878905260671,0.23491653950726077,0.7142947103257664,1.095610009957863,0.38131529963209654,1.1821483606941008,1.1821483606941003,4.440892098500626e-16,0.08704594528845261,0.08704594528845262,1.3877787807814457e-17,2024-09-17,12:46:21
1674,0.9945218953682734,0.9945218953682733,1.1102230246251565e-16,1.110399383005586,1.110399383005586,0.0,0.10452846326765348,0.10452846326765347,1.3877787807814457e-17,-2.0882983022383086,-2.256467495812755,0.16816919357444648,0.683896445423466,1.1169686874232954,0.4330722419998294,1.220405737351641,1.2204057373516408,2.220446049250313e-16,0.10433946069883394,0.10433946069883394,0.0,2024-09-17,12:46:21
1675,0.992546151641322,0.992546151641322,0.0,1.1299496199774568,1.129949619977457,2.220446049250313e-16,0.12186934340514748,0.12186934340514748,0.0,-1.9805695282502123,-2.102316815985497,0.12174728773528476,0.6595417600184159,1.139176687741349,0.47963492772293304,1.2592723488487547,1.2592723488487547,0.0,0.12157057216322707,0.12157057216322709,1.3877787807814457e-17,2024-09-17,12:46:21
1676,0.9902680687415704,0.9902680687415704,0.0,1.1498440680246451,1.1498440680246453,2.220446049250313e-16,0.13917310096006547,0.13917310096006544,2.7755575615628914e-17,-1.8799921279144085,-1.9687854233609743,0.08879329544656578,0.6403181085835139,1.1622856982690968,0.5219675896855829,1.298748195185442,1.298748195185442,0.0,0.13872944580142774,0.13872944580142774,0.0,2024-09-17,12:46:21
1677,0.9876883405951378,0.9876883405951378,0.0,1.170088787496422,1.1700887874964219,2.220446049250313e-16,0.15643446504023087,0.15643446504023087,0.0,-1.7859356697597553,-1.851002387704591,0.06506671794483565,0.6254389936231115,1.1863516872641446,0.5609126936410331,1.3388332763617028,1.3388332763617028,0.0,0.15580649996954177,0.15580649996954174,2.7755575615628914e-17,2024-09-17,12:46:21
1678,0.9848077530122081,0.984807753012208,1.1102230246251565e-16,1.1906899454435433,1.1906899454435431,2.220446049250313e-16,0.17364817766693033,0.17364817766693033,0.0,-1.6978278260017419,-1.7456418720467646,0.04781404604502271,0.6142287418730533,1.2114353564514977,0.5972066145784444,1.3795275923775367,1.3795275923775367,0.0,0.1727924348551592,0.1727924348551592,0.0,2024-09-17,12:46:21
1679,0.981627183447664,0.981627183447664,0.0,1.2116538174968905,1.211653817496891,4.440892098500626e-16,0.1908089953765448,0.1908089953765448,0.0,-1.6151492736463708,-1.6503316922424398,0.035182418596068965,0.6061088555166694,1.2376026522437453,0.631493796727076,1.4208311432329443,1.4208311432329443,0.0,0.18967825971423122,0.18967825971423122,0.0,2024-09-17,12:46:21
1680,0.9781476007338056,0.9781476007338057,1.1102230246251565e-16,1.2329867897791857,1.2329867897791864,6.661338147750939e-16,0.20791169081775934,0.20791169081775934,0.0,-1.5374289966289556,-1.56332031525281,0.025891318623854298,0.6005858044626124,1.2649253446788384,0.664339540216226,1.4627439289279254,1.4627439289279254,0.0,0.2064553175808596,0.20645531758085964,2.7755575615628914e-17,2024-09-17,12:46:21
1681,0.9743700647852352,0.9743700647852352,0.0,1.254695360850363,1.2546953608503648,1.7763568394002505e-15,0.224951054343865,0.224951054343865,0.0,-1.464239962302253,-1.4832776075792735,0.019037645277020454,0.5972401345471132,1.293481684776776,0.6962415502296628,1.5052659494624794,1.5052659494624796,2.220446049250313e-16,0.22311530731824095,0.22311530731824092,2.7755575615628914e-17,2024-09-17,12:46:21
1682,0.9702957262759964,0.9702957262759965,1.1102230246251565e-16,1.2767861436871948,1.2767861436871994,4.6629367034256575e-15,0.24192189559966773,0.24192189559966773,0.0,-1.395195146983156,-1.4091696354255516,0.013974488442395572,0.5957167749395392,1.3233571529938557,0.7276403780543165,1.5483972048366073,1.5483972048366068,4.440892098500626e-16,0.239650302916546,0.23965030291654563,3.608224830031759e-16,2024-09-17,12:46:21
1683,0.9659258262890684,0.9659258262890683,1.1102230246251565e-16,1.2992658676977709,1.2992658676977813,1.0436096431476471e-14,0.2588190451025207,0.25881904510252074,5.551115123125783e-17,-1.32994388661136,-1.3401767639386002,0.010232877327240208,0.5957164360555669,1.3546453138512415,0.7589288777956746,1.592137695050308,1.592137695050308,0.0,0.25605276998075727,0.25605276998075555,1.7208456881689926e-15,2024-09-17,12:46:21
1684,0.9612616959383188,0.9612616959383189,1.1102230246251565e-16,1.322141380771445,1.3221413807714655,2.042810365310288e-14,0.27563735581699916,0.27563735581699916,0.0,-1.268168529867999,-1.2756382428010289,0.007469712933029893,0.5969879969263968,1.3874487947353378,0.790460797808941,1.6364874201035828,1.6364874201035826,2.220446049250313e-16,0.27231557938769513,0.27231557938768775,7.382983113757291e-15,2024-09-17,12:46:21
1685,0.9563047559630355,0.9563047559630354,1.1102230246251565e-16,1.3454196513648702,1.3454196513649108,4.063416270128073e-14,0.29237170472273677,0.29237170472273677,0.0,-1.2095813723480906,-1.215013620984594,0.0054322486365034894,0.5993217882447034,1.4218804104405232,0.8225586221958198,1.6814463799964308,1.6814463799964308,0.0,0.2884320181259587,0.2884320181259294,2.930988785010413e-14,2024-09-17,12:46:21
1686,0.9510565162951535,0.9510565162951535,0.0,1.3691077706247707,1.369107770624847,7.616129948928574e-14,0.30901699437494745,0.3090169943749474,5.551115123125783e-17,-1.1539218515787557,-1.1578552071446455,0.003933355565889807,0.6025436842179891,1.4580644594162449,0.8555207751982558,1.7270145747288521,1.7270145747288521,0.0,0.3043957973647235,0.3043957973646151,1.0841327835464654e-13,2024-09-17,12:46:21
1687,0.9455185755993167,0.9455185755993168,1.1102230246251565e-16,1.393212954548079,1.3932129545482164,1.3744561044859438e-13,0.3255681544571567,0.3255681544571567,0.0,-1.1009539838265077,-1.1037879858743698,0.0028340020478621053,0.6065099229171871,1.4961382231039158,0.8896283001867287,1.7731920043008471,1.7731920043008471,0.0,0.3202010578267891,0.3202010578264167,3.723688024592775e-13,2024-09-17,12:46:21
1688,0.9396926207859085,0.9396926207859084,1.1102230246251565e-16,1.4177425461801063,1.417742546180348,2.4158453015843406e-13,0.34202014332566877,0.3420201433256687,5.551115123125783e-17,-1.0504640247423942,-1.0524946914868192,0.0020306667444249804,0.6111025810222711,1.5362537064813073,0.9251511254590362,1.8199786687124153,1.8199786687124153,0.0,0.3358423725676075,0.3358423725664079,1.1995959781074816e-12,2024-09-17,12:46:21
1689,0.9335804264972019,0.9335804264972017,1.1102230246251565e-16,1.4427040178514199,1.442704017851834,4.141131881851834e-13,0.35836794954530027,0.35836794954530027,0.0,-1.0022583369543765,-1.0037045273173872,0.0014461903630107464,0.6162256347467869,1.5785796663336804,0.9623540315868935,1.867374567963557,1.8673745679635572,2.220446049250313e-16,0.35131474728499823,0.35131474728135137,3.646860591288714e-12,2024-09-17,12:46:21
1690,0.9271838545667874,0.9271838545667874,0.0,1.468104973454097,1.4681049734547889,6.918909889463976e-13,0.37460659341591196,0.374606593415912,5.551115123125783e-17,-0.9561614487329899,-0.9571845116824944,0.001023062949504494,0.6218015442791338,1.6233039843147743,1.0015024400356405,1.915379702054272,1.9153797020542722,2.220446049250313e-16,0.3666136183037853,0.3666136182932664,1.0518919069113508e-11,2024-09-17,12:46:21
1691,0.9205048534524403,0.9205048534524404,1.1102230246251565e-16,1.493953150758057,1.4939531507591877,1.1306511282782594e-12,0.39073112848927377,0.39073112848927377,0.0,-0.9120142888300178,-0.9127327491116605,0.0007184602816426855,0.6277683043196419,1.6706364551715909,1.042868150851949,1.9639940709845605,1.96399407098456,4.440892098500626e-16,0.3817348483957349,0.3817348483668146,2.8920310590763165e-11,2024-09-17,12:46:21
1692,0.913545457642601,0.9135454576426009,1.1102230246251565e-16,1.5202564237681755,1.5202564237699836,1.80810921790453e-12,0.4067366430758002,0.4067366430758002,0.0,-0.869672583521558,-0.8701731346928645,0.0005005511713065403,0.6340769082284811,1.720812077415701,1.0867351691872198,2.0132176747544226,2.0132176747544226,0.0,0.39667472060821146,0.39667472053211317,7.609829433263826e-11,2024-09-17,12:46:21
1693,0.9063077870366499,0.9063077870366499,0.0,1.5470228051228918,1.547022805125729,2.83728596173205e-12,0.4226182617406994,0.42261826174069944,5.551115123125783e-17,-0.8290054027774192,-0.8293511401726095,0.000345737395190282,0.6406891779397647,1.7740949553446461,1.1334057774048816,2.0630505133638577,2.0630505133638573,4.440892098500626e-16,0.4114299302854962,0.4114299300931693,1.9232687664683112e-10,2024-09-17,12:46:21
1694,0.898794046299167,0.898794046299167,0.0,1.5742604485350526,1.5742604485394271,4.374500761628042e-12,0.4383711467890774,0.4383711467890774,0.0,-0.789893843329235,-0.7901304270193281,0.00023658369009316171,0.647575916151373,1.8307829491555379,1.1832070330041649,2.1134925868128662,2.1134925868128662,0.0,0.4259975754757379,0.4259975750073931,4.683448073805607e-10,2024-09-17,12:46:21
1695,0.8910065241883679,0.8910065241883679,0.0,1.6019776512757216,1.6019776512823565,6.6349148397648605e-12,0.45399049973954675,0.45399049973954675,0.0,-0.7522298372209381,-0.7523900990364811,0.0001602618155430724,0.6547153413775222,1.8912132460015052,1.236497904623983,2.1645438951014486,2.1645438951014486,0.0,0.4403751459257886,0.44037514482382933,1.1019592460748129e-09,2024-09-17,12:46:21
1696,0.882947592858927,0.882947592858927,0.0,1.6301828567017165,1.63018285671163,9.913625476087873e-12,0.46947156278589075,0.4694715627858908,5.551115123125783e-17,-0.7159150751982734,-0.7160224548656062,0.00010737966733287418,0.6620917702614992,1.95576907204317,1.2936773017816707,2.216204438229604,2.216204438229604,0.0,0.4545605108785639,0.4545605083671337,2.5114302304451996e-09,2024-09-17,12:46:21
1697,0.8746197071393959,0.8746197071393957,1.1102230246251565e-16,1.6588846568276476,1.6588846568422535,1.4605872067363634e-11,0.484809620246337,0.48480962024633706,5.551115123125783e-17,-0.6808600350297913,-0.6809311350543361,7.110002454480124e-05,0.6696945150987436,2.024887827762161,1.3551933126634177,2.2684742161973332,2.2684742161973332,0.0,0.46855190590769,0.4685519003511956,5.556494431235848e-09,2024-09-17,12:46:21
